,Routes,Path,Signal_power (W),Noise_power (W),Latency (s),SNR (dB)
303,F->B,FB,0.001,4.2720018726587666e-07,0.002136000936329383,33.69368565603753
304,F->B,FDAB,0.001,2.6771806363609957e-06,0.005624272648409009,25.723223248428916
305,F->B,FDB,0.001,1.1933355301524316e-06,0.004014115231785494,29.232374285795302
306,F->B,FDCAB,0.001,5.868557069192045e-06,0.007894813254801313,22.31468667733807
307,F->B,FDECAB,0.001,1.2010959234087769e-05,0.009763747846501664,19.204223070487497
308,F->B,FECAB,0.001,7.664177001758077e-06,0.008999571370272266,21.155344739191833
309,F->B,FECADB,0.001,1.5795135095477764e-05,0.011197300506580705,18.014766552308412
310,F->B,FECDAB,0.001,1.528123183759384e-05,0.010334582039343954,18.15841635373788
311,F->B,FECDB,0.001,7.495361130768853e-06,0.00872442462272044,21.25207437756082
312,F->B,FEDAB,0.001,7.58601207309364e-06,0.00866798272511157,21.199864704555615
313,F->B,FEDB,0.001,3.6477512485187537e-06,0.007057825308488053,24.379747852227563
314,F->B,FEDCAB,0.001,1.5686219942657334e-05,0.010938523331503872,18.044816998695495
